PolicyName,PolicyType,PolicyDescription,PolicyOwnerType,PolicyOwner,PolicyEnabled,ExternalReference,Tags,Query1Name,Query1,Query2Name,Query2,ViolationOwnerType,ViolationOwner,MitigatingControls,CorrectionAdvice,Actions,PolicySchedule,CertificationName,CertificationDescription,CertificationSchedule
Sample Policy 11,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG11,Sample Right,tags:LEFT_TAG12,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 12,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG12,Sample Right,tags:LEFT_TAG13,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 13,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG13,Sample Right,tags:LEFT_TAG14,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 14,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG14,Sample Right,tags:LEFT_TAG15,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 15,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG15,Sample Right,tags:LEFT_TAG16,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 16,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG16,Sample Right,tags:LEFT_TAG17,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 17,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG17,Sample Right,tags:LEFT_TAG18,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 18,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG18,Sample Right,tags:LEFT_TAG19,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 19,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG19,Sample Right,tags:LEFT_TAG20,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 20,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG20,Sample Right,tags:LEFT_TAG21,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 21,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG21,Sample Right,tags:LEFT_TAG22,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 22,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG22,Sample Right,tags:LEFT_TAG23,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 23,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG23,Sample Right,tags:LEFT_TAG24,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 24,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG24,Sample Right,tags:LEFT_TAG25,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 25,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG25,Sample Right,tags:LEFT_TAG26,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 26,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG26,Sample Right,tags:LEFT_TAG27,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 27,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG27,Sample Right,tags:LEFT_TAG28,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 28,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG28,Sample Right,tags:LEFT_TAG29,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 29,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG29,Sample Right,tags:LEFT_TAG30,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 30,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG30,Sample Right,tags:LEFT_TAG31,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 31,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG31,Sample Right,tags:LEFT_TAG32,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 32,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG32,Sample Right,tags:LEFT_TAG33,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 33,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG33,Sample Right,tags:LEFT_TAG34,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 34,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG34,Sample Right,tags:LEFT_TAG35,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 35,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG35,Sample Right,tags:LEFT_TAG36,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 36,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG36,Sample Right,tags:LEFT_TAG37,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 37,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG37,Sample Right,tags:LEFT_TAG38,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 38,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG38,Sample Right,tags:LEFT_TAG39,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 39,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG39,Sample Right,tags:LEFT_TAG40,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 40,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG40,Sample Right,tags:LEFT_TAG41,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 41,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG41,Sample Right,tags:LEFT_TAG42,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 42,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG42,Sample Right,tags:LEFT_TAG43,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 43,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG43,Sample Right,tags:LEFT_TAG44,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 44,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG44,Sample Right,tags:LEFT_TAG45,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 45,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG45,Sample Right,tags:LEFT_TAG46,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 46,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG46,Sample Right,tags:LEFT_TAG47,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 47,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG47,Sample Right,tags:LEFT_TAG48,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 48,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG48,Sample Right,tags:LEFT_TAG49,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 49,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG49,Sample Right,tags:LEFT_TAG50,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 50,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG50,Sample Right,tags:LEFT_TAG51,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 51,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG51,Sample Right,tags:LEFT_TAG52,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 52,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG52,Sample Right,tags:LEFT_TAG53,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 53,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG53,Sample Right,tags:LEFT_TAG54,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 54,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG54,Sample Right,tags:LEFT_TAG55,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 55,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG55,Sample Right,tags:LEFT_TAG56,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 56,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG56,Sample Right,tags:LEFT_TAG57,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 57,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG57,Sample Right,tags:LEFT_TAG58,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 58,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG58,Sample Right,tags:LEFT_TAG59,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 59,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG59,Sample Right,tags:LEFT_TAG60,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 60,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG60,Sample Right,tags:LEFT_TAG61,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
